exac_id,name
amnhc_2000659,Vuilleumier Field Trip to Peru and Colombia
amnhc_2000660,Diamond Field Trip to Solomon Islands and New Guinea
amnhc_2000661,Dickerman Field Trip to South America
amnhc_2000662,Vuilleumier Field Trip to Iran and Kashmir
amnhc_2000663,Amadon Field Trip to Africa
amnhc_2000664,Lanyon Field Trip to Georgia
amnhc_2000665,Schaeffer Field Trip to the Arctic
amnhc_2000666,Short Field Trip to Mauritius and Seychelles
amnhc_2000667,Expedition to Argentina
amnhc_2000668,Gaffney Field Trip to West
amnhc_2000669,Le Croy Field Trip to New Guinea
amnhc_2000670,Short Field Trip to Kenya
amnhc_2000671,Diamond Field Trip to New Guinea and Australia
amnhc_2000672,Guatemala Field Trip
amnhc_2000673,McKenna Field Trip to Greenland
amnhc_2000674,Hidden Cave Project
amnhc_2000675,Myers Field Trips to Central America
amnhc_2000676,Australia Field Trip
amnhc_2000677,Egyptian Field Trip
amnhc_2000678,Expedition to Bolivia
amnhc_2000679,Gaffney Field Trip to Australia
amnhc_2000680,Rozen Field Trip to West
amnhc_2000681,Schuh Field Trip to Oregon and California
amnhc_2000682,Thomas Expedition to Nevada
amnhc_2000683,Field Trips to Central Chile
amnhc_2000684,St. Catherine's Island Field Trip
amnhc_2000685,Panama Expedition
amnhc_2000686,Expedition to Baja California
amnhc_2000687,Morris trips to south central Peru
amnhc_2000688,Field Trips to Korea
amnhc_2000689,Rozen Field Trip to Pakistan
amnhc_2000690,Cerro de la Neblina Expedition
amnhc_2000691,Field Studies from Southern Chile to Cape Horn
amnhc_2000692,FieldTrip to Southern Chile
amnhc_2000693,Field Expeditions to northern South America
amnhc_2000694,Field Trip to Switzerland
amnhc_2000695,Expedition to the Yushe Basin
amnhc_2000696,Lower Amazon Interdisciplinary Archeological Project
amnhc_2000697,Phipps Tapirapeco Expedition
amnhc_2000698,Expedition to Green River Basin of Wyoming
amnhc_2000699,Expeditions to Cuba
amnhc_2000700,Expedition to French Guiana
amnhc_2000701,Expeditions to Southern Mongolia
amnhc_2000702,Robert G. Goelet American Museum of Natural History -Terramar Expedition
amnhc_2000703,Lower California Expedition
amnhc_2000704,"W.W. Price Arizona and Sonoro, Mexico Expedition "
amnhc_2000705,Baron Peru Expedition
amnhc_2000706,California Expedition
amnhc_2000707,Texas Expedition
amnhc_2000708,Constable Expeditions to Northwest
amnhc_2000709,Vertebrate Paleontology Expeditions
amnhc_2000710,Mammalogy Expedition to collect Bats.
amnhc_2000711,"Wissler Expedition to the Dakotas, Montana and Canada. "
amnhc_2000712,Tjader East Africa Expedition
amnhc_2000713,"Skinner Anthropolical Expeditions to the Indians of Quebec, Manitoba, Wisconsin and Florida"
amnhc_2000714,Anthropological Expedition to the Southwest.
amnhc_2000715,Expedition to the North Pacific Coast.
amnhc_2000716,Vertebrare Paleontology Expedition to Montana.
amnhc_2000717,Huntington Expeditions
amnhc_2000718,"AMNH- Bureau of Fisheries Expedition to Lower California aboard the ""Albatross""."
amnhc_2000719,Lumholtz Expedition to Mexico and Arizona.
amnhc_2000720,Entomological Expedition
amnhc_2000721,Archaeological Expedition to the Maya ruins of Central America
amnhc_2000722,Spinden Expedition to Venezuela.
amnhc_2000723,Mammal Dept. expedition to Cuba
amnhc_2000724,Brewster-Sanford Expedition
amnhc_2000725,"Expedition to ""Indian Workshop"""
amnhc_2000726,"Bernheimer Expeditions, 1st-6th"
amnhc_2000727,Hay Expedition to Mexico.
amnhc_2000728,Goddard Expedition to British Columbia and Alaska.
amnhc_2000729,Carolines and Marshalls
amnhc_2000730,Newell Expeditions to Rocky Mountains and Great Basin.
amnhc_2000731,Expeditions to Cuba
amnhc_2000732,"Anderson, Sydney"
amnhc_2000733,(Chile 1993)
amnhc_2000734,Mammalogy Expedition to Cluba. 
amnhc_2000735,Explore21 Expedition to the Solomon Islands.
amnhc_2000736,Whitmore Exploring Expedition
amnhc_2000737,Nichols Expedition to the Bering Sea
amnhc_2000738,Simpson Expedition to Montana.
amnhc_2000739,Ellsworth Antarctic Expeditions
amnhc_2000364,Clark-Kissel Alaska Expedition
amnhc_2000365,Clark Expedition to Wyoming
amnhc_2000366,Clark Nehasane Trip
amnhc_2000367,Cox Brazil Expedition
amnhc_2000368,Frick Alaska Expedition
amnhc_2000369,Hayden Planetarium-Grace Peruvian Eclipse Expedition
amnhc_2000370,Krech-Solbert British Columbia Expedition
amnhc_2000371,Lerner Bimini Expedition
amnhc_2000372,Murphy Colombian Expedition
amnhc_2000373,Noble Cuba Expedition
amnhc_2000374,Oyster Bay Field Trip
amnhc_2000375,Plant East African Expedition
amnhc_2000376,Rockwell Bison Trip
amnhc_2000377,Snyder Mountain Expedition
amnhc_2000378,Terry-Holden Expedition
amnhc_2000379,Underwood Honduras Expedition
amnhc_2000381,Ekholm Expedition to Mexico
amnhc_2000382,Phelps Venezuelan Expedition
amnhc_2000383,Van Name Expedition
amnhc_2000384,Bennett Peru Expedition
amnhc_2000385,Davison Expedition to Canada
amnhc_2000386,Gregory-Hellman Transvaal Expedition
amnhc_2000387,Honnold Colorado Expedition
amnhc_2000388,Legendre Iran Expedition
amnhc_2000389,Lerner Cape Breton Expedition of 1938
amnhc_2000390,Lloyd-Smith Alaska Expedition
amnhc_2000391,Mellon Yukon Expedition
amnhc_2000392,Rockefeller Hudson Bay Expedition
amnhc_2000393,Snyder East African Expedition
amnhc_2000394,Trailer Collecting Trips
amnhc_2000395,Vernay-Kaffrarian-Zambezi Expedition
amnhc_2000396,Vertebrate Palaeontology Expedition of 1938
amnhc_2000397,Yellowstone Expedition
amnhc_2000398,Lerner New Zealand Expedition
amnhc_2000399,Scarritt Venezuela Expedition
amnhc_2000400,W.D. Campbell Expedition
amnhc_2000401,Amadon Southwest Expedition
amnhc_2000402,Bogert Expedition to Mexico
amnhc_2000403,Lutz Florida Expedition
amnhc_2000404,Meyer Expedition to Texas
amnhc_2000405,Noble Field Trip to Florida
amnhc_2000406,Palaeontology Expeditions of 1939
amnhc_2000407,Pough Geology Expedition
amnhc_2000408,Robinson Expedition to Grand Canyon
amnhc_2000409,Shapiro Expedition to Carolinas
amnhc_2000410,Van Name Field Trip to California
amnhc_2000411,Ekholm Expedition to Mexico
amnhc_2000412,Rainey Alaska Expedition
amnhc_2000413,Kansas Collecting Trip
amnhc_2000414,Lerner-Peru-Chile Expedition
amnhc_2000415,McGraw Expedition to Alaska
amnhc_2000416,Palaeontology Badlands Expedition
amnhc_2000417,Sinclair Texas Expedition
amnhc_2000418,Vokes Expedition to Syria
amnhc_2000419,AMNH-University of Alaska Expedition
amnhc_2000420,Bird Chilean Expedition
amnhc_2000421,Brown Montana Expedition
amnhc_2000422,Canadian Expedition
amnhc_2000423,Granger South Dakota Expedition
amnhc_2000424,Miner Florida Expedition
amnhc_2000425,Mt. Macarena Expedition
amnhc_2000426,Nelson Expedition to Montana
amnhc_2000427,Shapiro Expedition to Alaska
amnhc_2000428,Thetis Expedition I
amnhc_2000430,Askoy Expedition
amnhc_2000431,Paricutin Expedition
amnhc_2000432,Haas Indiana Expedition
amnhc_2000433,Schneirla Mexican Expedition
amnhc_2000434,Schneirla Behavior Field Trip
amnhc_2000435,Blair Field Trip to Mexico
amnhc_2000436,Dept. of Geology and Palaeontology Expeditions
amnhc_2000437,Entomological Expedition to Brazil and Mexico
amnhc_2000438,Larsen Alaskan Expedition
amnhc_2000439,Mexican Expedition
amnhc_2000440,Rutherford African Expedition
amnhc_2000441,St. Louis Expedition
amnhc_2000442,AMNH Expedition to Arizona
amnhc_2000443,Vernay Nyasaland Expedition
amnhc_2000444,Viru Valley Project
,"Permian Reefs of Texas - Newell, Expeditions."
amnhc_2000445,Ford Archaeology Field Trip
amnhc_2000446,Cazier Expedition to Mexico
amnhc_2000447,Ekholm Expedition to Mexico
amnhc_2000448,Expedition to Mexico
amnhc_2000449,Newell Expeditions to Peru
amnhc_2000450,Oliver Bimini Field Trip
amnhc_2000451,Pallister Expedition to Peru
amnhc_2000452,Shapiro Field Trip to Puerto Rico
amnhc_2000453,Vaurie Expedition to Guatemala
amnhc_2000454,Dept.of Geology and Palaeontology Expedition to New Mexico
amnhc_2000455,Morden African Expedition
amnhc_2000456,New Zealand Expedition
amnhc_2000457,Archbold Cape York Expedition
amnhc_2000458,Central African Expedition
amnhc_2000459,Expedition to Honduras
amnhc_2000460,Tiger Beetle Expeditions
amnhc_2000461,Palau Islands Expedition
amnhc_2000462,Armstrong Expedition to Bahamas
amnhc_2000463,Ekholm Honduras Expedition
amnhc_2000464,Fossil Fish Expedition
amnhc_2000465,Queeny African Expedition
amnhc_2000466,First Afghan Expedition
amnhc_2000467,Bogert Expedition
amnhc_2000468,Dept. of Geology and Palaeontology Field Trip
amnhc_2000469,Hecht Field Trip to Jamaica
amnhc_2000470,Second Afghan Expedition
amnhc_2000471,Entomological Field Trip to Southwest
amnhc_2000472,Newell Expedition to Bahamas
amnhc_2000473,Clark Red Sea Expedition
